model	tr_pearson	tr_spearman	val_pearson	val_spearman	sha
VaishnavCNN	nan	nan	nan	nan	aa9374a285456b30d459341292337107750bd282
SimpleCNN	nan	nan	0.685	0.697	a29a56e22278b8b49b6fd57bf4182a2d0ddfae5f
Basenji_shallow	0.750	0.772	0.729	0.747	83ed34cd916f05e37bf935167618fee798ab3a85
Basenji	0.768	0.779	0.734	0.752	0303c67de1504a9b154e57af16769e5c2395a7f6
SimpleCNN_BN_t=rc	0.6780823859207313	0.691612589346253	0.6727178706164659	0.6869967564465862	64748b5d178ca0685957c8c85910b00179d73a28
SimpleCNN_GELU	0.674	0.689	0.673	0.687	5e8d153b673229255bd4998ca2e35b725bcf0d2f
SimpleCNN_BN	0.678	0.692	0.673	0.687	efdc20855e699f0664227f44eeeead56bd09347b
Basenji_t=rc	0.767	0.778	0.731	0.748	afec9eb5227beee732b48e16dcb3e1ade226d29d
VaishnavCNN	0.760	0.771	0.724	0.740	277b37b80c35bb13fef913d9e35f06f29d794e63
ResNet_epochs=50_batch=1024	0.860	0.844	0.644	0.688	d85c67d7b185e47ee628a6397440145391c9431c
MyopicResNet_epochs=50_batch=64	0.787	0.778	0.703	0.732	4167d885e8233fe5002b2ba6744eaacd3110098e
